vehicle_id,time,from_node,to_node
0,0,B1,B2
1,0,C0,D3
2,1,D1,B0
3,1,B2,C1
4,2,D3,A3
5,2,C2,B1
6,3,B2,D1
7,3,B3,D2
8,3,A2,C0
9,3,A0,A2
10,4,D1,D0
11,5,B2,B1
12,5,C2,A2
13,6,A2,A1
14,6,D2,A0
15,6,A2,A3
16,7,D0,B0
17,7,D1,D2
18,7,C2,C3
19,7,C2,C3
20,7,C0,B3
21,8,D3,B3
22,8,B2,B1
23,8,D2,C0
24,10,A3,C1
25,11,D1,B0
26,11,C0,A3
27,12,A1,A2
28,13,C3,A3
29,13,D3,D2
30,14,B3,C0
31,14,B1,D0
32,14,D2,A1
33,14,D2,C0
34,14,D1,A1
35,14,C2,C0
36,14,C1,B3
37,16,B2,B0
38,17,B3,A1
39,17,D2,B1
40,19,D2,B0
41,20,A0,A1
42,20,D2,D0
43,22,A1,C2
44,22,C2,D0
45,22,C2,D1
46,23,A1,C1
47,23,B3,A3
48,23,A2,D1
49,23,B1,B0
50,23,B2,A0
51,24,A0,A2
52,24,A3,B2
53,24,C2,B2
54,25,B1,A1
55,25,D3,B2
56,26,B3,D3
57,26,A2,B0
58,26,A1,C2
59,27,B3,A0
60,27,C2,B2
61,28,A1,A0
62,30,D1,B1
63,31,C0,A2
64,31,C2,D3
65,32,A3,D3
66,32,C3,C1
67,33,A2,D1
68,33,D3,C2
69,33,D2,C0
70,33,B1,D3
71,33,C1,B1
72,34,C1,B0
73,35,B3,D1
74,35,B1,D1
75,36,D3,D2
76,36,C3,B0
77,37,C3,B1
78,38,D1,D2
79,38,D1,C1
80,38,B0,A2
81,39,A2,B0
82,39,A0,D1
83,39,D0,B0
84,39,B3,A1
85,39,D0,C0
86,39,B3,C2
87,39,D0,B0
88,40,D2,D0
89,41,A0,A3
90,41,D1,A2
91,41,B2,B3
92,42,B1,C0
93,42,D2,C0
94,42,B3,D2
95,43,B2,D2
96,43,A3,B3
97,44,A2,B1
98,44,D0,B3
99,44,A1,B3
100,45,B0,D0
101,45,D0,D3
102,45,A3,B3
103,45,C3,A3
104,46,A0,B1
105,48,A2,C2
106,48,D0,C1
107,48,B0,A2
108,48,B0,C3
109,49,C2,B3
110,50,D2,A2
111,50,C1,A3
112,50,A2,D3
113,50,A3,B0
114,51,C0,A1
115,52,B0,D0
116,52,C1,D0
117,52,D2,A0
118,52,B2,D2
119,52,A3,B2
120,53,D1,A0
121,54,C0,D0
122,54,B2,D2
123,54,C0,D0
124,54,C3,D2
125,55,B1,C1
126,56,A3,C3
127,56,A3,D1
128,57,D1,A2
129,57,D1,D3
130,57,D3,B1
131,57,C1,C3
132,58,D0,B3
133,59,C2,C3
134,59,A1,D3
135,59,C0,A1
136,60,B2,B3
137,61,B1,C3
138,62,A2,D2
139,63,D2,A2
140,63,B0,C0
141,63,D3,D2
142,64,D3,B3
143,65,A1,A2
144,65,D3,C0
145,65,C2,D2
146,65,C3,C2
147,66,C3,D2
148,67,A0,D0
149,67,D1,C1
150,67,B1,C1
151,68,D1,D0
152,68,D1,D3
153,69,C3,B3
154,69,B3,C3
155,70,B3,A1
156,70,B2,A1
157,71,A2,D3
158,71,B3,C2
159,71,C1,C2
160,71,A2,A3
161,72,C3,D3
162,72,B3,A0
163,72,C0,D1
164,74,A1,C0
165,75,D0,C3
166,75,A1,D0
167,75,B0,A0
168,76,B2,B3
169,77,C2,C3
170,78,A0,D2
171,78,D1,D3
172,78,C1,A1
173,78,A1,B0
174,79,A0,C0
175,79,B0,D1
176,79,B1,C3
177,79,C3,B0
178,80,B3,D0
179,80,A3,D1
180,80,D3,C1
181,80,D1,C1
182,81,A3,B0
183,81,A3,B1
184,81,D2,A3
185,81,C2,B2
186,82,B0,C1
187,82,D1,A3
188,84,C2,C3
189,85,C1,C2
190,85,A2,C0
191,85,B0,A2
192,85,A3,B2
193,86,D2,B1
194,86,D1,B1
195,87,A1,D2
196,87,A2,B1
197,88,B2,A0
198,88,C3,C2
199,89,B1,D1
200,90,A0,C0
201,90,D3,B1
202,90,C0,D2
203,90,C1,A3
204,91,C3,C1
