source,target,speed,cost,type,id,length
from_a-1029,to_a-1029,13.89,8.819294456443485,real,a-1029,122.5
to_a-1029,from_a1040,5.47,1.780621572212066,internal,:a653_12,9.74
to_a-1029,from_a1060,13.89,1.5104391648668105,internal,:a653_13,20.98
to_a-1029,from_a1030,13.89,1.6882649388048956,internal,:a653_14,23.45
to_a-1029,from_a-880,9.73,0.5149023638232271,internal,:a653_15,5.01
to_a-1029,from_a-654,6.34,0.28864353312302843,internal,:a653_16,1.83
to_a-1029,from_a1029,3.65,0.39452054794520547,internal,:a653_17,1.44
to_a-1029,d_a653,1.0,1e-07,destination_node,to_a-1029_d_a653,1e-07
from_a-1030,to_a-1030,13.89,8.493160547156227,real,a-1030,117.97
to_a-1030,from_a-880,8.54,1.9121779859484778,internal,:a653_30,16.33
to_a-1030,from_a-654,13.89,1.491720662347012,internal,:a653_31,20.72
to_a-1030,from_a1029,13.89,1.6882649388048956,internal,:a653_32,23.45
to_a-1030,from_a1040,13.89,0.46652267818574517,internal,:a653_33,6.48
to_a-1030,from_a1060,7.42,0.8086253369272237,internal,:a653_34,6.0
to_a-1030,from_a1030,3.65,0.39452054794520547,internal,:a653_35,1.44
to_a-1030,d_a653,1.0,1e-07,destination_node,to_a-1030_d_a653,1e-07
from_a-1040,to_a-1040,13.89,12.710583153347732,real,a-1040,176.55
to_a-1040,from_a1060,8.54,1.9121779859484778,internal,:a653_6,16.33
to_a-1040,from_a1030,13.89,1.5104391648668105,internal,:a653_7,20.98
to_a-1040,from_a-880,13.89,1.665946724262059,internal,:a653_8,23.14
to_a-1040,from_a-654,9.73,0.9897225077081192,internal,:a653_9,9.63
to_a-1040,from_a1029,7.42,1.1940700808625335,internal,:a653_10,8.86
to_a-1040,from_a1040,3.65,0.39452054794520547,internal,:a653_11,1.44
to_a-1040,d_a653,1.0,1e-07,destination_node,to_a-1040_d_a653,1e-07
from_a-1060,to_a-1060,13.89,12.710583153347732,real,a-1060,176.55
to_a-1060,from_a1030,5.47,1.780621572212066,internal,:a653_0,9.74
to_a-1060,from_a-880,13.89,1.5104391648668105,internal,:a653_1,20.98
to_a-1060,from_a-654,13.89,1.6882649388048956,internal,:a653_2,23.45
to_a-1060,from_a1029,13.89,0.46652267818574517,internal,:a653_3,6.48
to_a-1060,from_a1040,9.73,0.5149023638232271,internal,:a653_4,5.01
to_a-1060,from_a1060,3.65,0.39452054794520547,internal,:a653_5,1.44
to_a-1060,d_a653,1.0,1e-07,destination_node,to_a-1060_d_a653,1e-07
from_a-1065,to_a-1065,13.89,6.450683945284377,real,a-1065,89.6
to_a-1065,from_a1067,6.51,1.3870967741935483,internal,:a767_12,9.03
