vehicle_id,time,from_node,to_node
0,0,a2902,a3626
1,1,a3855,a1346
2,1,a2776,a653
3,2,a153,a30
4,2,a153,a1346
5,2,a309,a2776
6,2,a2171,a2902
7,2,a309,a653
8,3,a2171,a3626
9,3,a2902,a153
10,4,a1910,a309
11,5,a2776,a2902
12,5,a1910,a30
13,5,a2776,a2902
14,5,a653,a3626
15,7,a2902,a653
16,7,a153,a309
17,8,a653,a1910
18,8,a1910,a2902
19,8,a2277,a2902
20,8,a2277,a30
21,8,a2776,a1655
22,9,a309,a1910
23,9,a1910,a2776
24,10,a30,a309
25,10,a1910,a1346
26,10,a1346,a2902
27,11,a1910,a2277
28,11,a3855,a1910
29,12,a2171,a2776
30,13,a2277,a1655
31,14,a2277,a1910
32,15,a30,a3626
33,16,a3855,a2776
34,16,a30,a1910
35,16,a653,a153
36,16,a1910,a653
37,18,a1655,a653
38,18,a1346,a3626
39,18,a2171,a2277
40,18,a653,a1655
41,19,a2902,a2776
42,19,a2776,a2171
43,19,a3855,a2776
44,19,a1346,a30
45,20,a2902,a3626
46,20,a2171,a309
47,21,a1346,a2171
48,21,a1346,a2171
49,21,a3626,a2902
50,21,a3626,a2902
51,21,a1346,a2776
52,22,a3855,a1910
53,22,a30,a1346
54,22,a1346,a2277
55,23,a153,a3855
56,24,a153,a2171
57,25,a1910,a2776
58,25,a653,a2171
59,25,a1655,a1346
60,26,a2776,a2277
61,26,a1346,a2776
62,26,a2776,a1346
63,27,a3626,a2902
64,27,a2776,a1655
65,28,a2776,a1655
66,28,a2277,a3855
67,28,a3855,a309
68,28,a1910,a30
69,29,a2277,a653
70,29,a3855,a1910
71,29,a2902,a653
72,30,a1910,a3855
73,30,a153,a309
74,31,a1655,a1910
75,31,a2171,a653
76,31,a1655,a3855
77,32,a3626,a2902
78,32,a1346,a30
79,32,a653,a1346
80,32,a2902,a309
81,33,a2776,a309
82,34,a653,a2776
83,35,a2277,a30
84,36,a153,a653
85,36,a2171,a653
86,37,a30,a3855
87,37,a153,a1910
88,37,a309,a653
89,38,a2277,a2776
90,38,a153,a30
91,38,a1346,a153
92,39,a2776,a3855
93,40,a309,a2776
94,40,a653,a1655
95,42,a2171,a2776
96,43,a2171,a309
97,43,a153,a3626
98,44,a1346,a3626
99,44,a1910,a1655
100,44,a3626,a3855
101,45,a3626,a653
102,45,a1655,a3855
103,45,a3855,a2171
104,46,a1346,a2776
105,46,a3626,a2902
106,47,a2171,a2277
107,48,a3855,a30
108,48,a1655,a3855
109,48,a2171,a2277
110,49,a2902,a3855
111,49,a2902,a1910
112,50,a3626,a2902
113,51,a653,a2171
114,52,a2277,a309
115,52,a1346,a2171
116,53,a309,a1910
117,53,a2277,a2171
118,54,a2277,a3855
119,54,a1655,a3855
120,55,a309,a1346
121,55,a2171,a153
122,55,a30,a653
123,55,a3626,a2776
124,56,a2902,a309
125,56,a1910,a3855
126,56,a309,a30
127,57,a30,a153
128,57,a2902,a3855
129,57,a153,a2277
130,57,a1655,a2902
131,57,a3626,a309
132,57,a3855,a309
133,57,a2902,a153
134,57,a2277,a1910
135,58,a1346,a3626
136,58,a1655,a2776
137,58,a2902,a30
138,59,a2277,a653
139,59,a653,a2776
140,59,a2277,a1910
141,60,a30,a153
142,60,a2171,a2277
143,61,a2776,a153
144,61,a153,a3855
145,61,a2902,a653
146,61,a3855,a1910
147,62,a2277,a2776
148,63,a2902,a1655
149,63,a653,a3855
150,63,a2776,a1655
151,64,a2171,a309
152,64,a30,a2277
153,65,a309,a3626
154,66,a2171,a2902
155,66,a1655,a2171
156,66,a2171,a1910
157,68,a653,a1655
158,68,a153,a3855
159,68,a153,a3855
160,69,a1910,a2902
161,69,a1910,a2776
162,69,a2776,a2171
163,69,a653,a30
164,70,a309,a153
165,71,a153,a2776
166,71,a309,a3855
167,71,a1346,a153
168,72,a2776,a309
169,72,a153,a653
170,72,a2902,a1910
171,73,a653,a2171
172,73,a153,a3855
173,75,a653,a2277
174,76,a2776,a2171
175,76,a1655,a2171
176,77,a3855,a1655
177,77,a1655,a2902
178,78,a3626,a2277
179,79,a653,a2277
180,80,a653,a309
181,81,a1910,a2776
182,81,a2902,a1910
183,81,a1910,a3855
184,82,a1655,a3626
185,82,a653,a1655
186,84,a309,a2776
187,85,a30,a309
188,86,a1346,a2776
189,86,a309,a1655
190,86,a1346,a3626
191,87,a1910,a153
192,87,a653,a30
193,88,a2776,a2277
194,88,a1655,a2277
195,89,a2277,a3855
196,89,a653,a2776
197,89,a2902,a30
198,89,a2902,a153
199,90,a30,a309
