id,from,to,type,speed,length,cost
-1001559563#1,from_-1001559563#1,to_-1001559563#1,real,2.78,94.41,33.96043165467626
-1001559570#1,from_-1001559570#1,to_-1001559570#1,real,2.78,6.06,2.179856115107914
-1001559570#5,from_-1001559570#5,to_-1001559570#5,real,2.78,84.6,30.431654676258994
-1001559571#1,from_-1001559571#1,to_-1001559571#1,real,2.78,147.36,53.00719424460433
-1001559572#0,from_-1001559572#0,to_-1001559572#0,real,2.78,0.2,0.07194244604316548
-1001559572#2,from_-1001559572#2,to_-1001559572#2,real,2.78,0.2,0.07194244604316548
-1004129376#10,from_-1004129376#10,to_-1004129376#10,real,8.33,164.76,19.779111644657863
-1004129377#1,from_-1004129377#1,to_-1004129377#1,real,8.33,83.58,10.033613445378151
-1004129377#13,from_-1004129377#13,to_-1004129377#13,real,8.33,81.99,9.842737094837934
-1004129377#5,from_-1004129377#5,to_-1004129377#5,real,8.33,229.09,27.501800720288117
-1004129378#3,from_-1004129378#3,to_-1004129378#3,real,8.33,123.05,14.771908763505401
-1004129379,from_-1004129379,to_-1004129379,real,8.33,91.37,10.968787515006003
-1006204342,from_-1006204342,to_-1006204342,real,13.89,70.57,5.080633549316054
-1006210987#2,from_-1006210987#2,to_-1006210987#2,real,13.89,95.87,6.902087832973362
-1011390750,from_-1011390750,to_-1011390750,real,2.78,26.98,9.705035971223023
-102555223,from_-102555223,to_-102555223,real,13.89,59.56,4.287976961843053
-102593660#1,from_-102593660#1,to_-102593660#1,real,8.33,127.34,15.286914765906364
-1030029944#3,from_-1030029944#3,to_-1030029944#3,real,2.78,72.1,25.93525179856115
-1033620732#1,from_-1033620732#1,to_-1033620732#1,real,13.89,220.48,15.873290136789056
-1033620733,from_-1033620733,to_-1033620733,real,13.89,219.5,15.802735781137509
-1033620734,from_-1033620734,to_-1033620734,real,19.44,18.36,0.9444444444444443
-1033620735,from_-1033620735,to_-1033620735,real,19.44,22.13,1.1383744855967077
-1033622461,from_-1033622461,to_-1033622461,real,19.44,108.36,5.5740740740740735
-1033622462#1,from_-1033622462#1,to_-1033622462#1,real,19.44,92.87,4.777263374485597
-1033622463#0,from_-1033622463#0,to_-1033622463#0,real,19.44,18.7,0.9619341563786007
-1033622463#1,from_-1033622463#1,to_-1033622463#1,real,19.44,98.64,5.0740740740740735
-1033622463#2,from_-1033622463#2,to_-1033622463#2,real,19.44,242.88,12.493827160493826
-1033622463#3,from_-1033622463#3,to_-1033622463#3,real,19.44,75.96,3.907407407407407
-1033622464#4,from_-1033622464#4,to_-1033622464#4,real,22.22,721.71,32.48019801980198
-1033622464#5,from_-1033622464#5,to_-1033622464#5,real,22.22,95.17,4.283078307830784
-1033627300,from_-1033627300,to_-1033627300,real,25.0,103.28,4.1312
-1033628274,from_-1033628274,to_-1033628274,real,13.89,43.51,3.132469402447804
-1033628275#0,from_-1033628275#0,to_-1033628275#0,real,13.89,40.04,2.882649388048956
-1033628275#1,from_-1033628275#1,to_-1033628275#1,real,13.89,44.77,3.223182145428366
-1033628276,from_-1033628276,to_-1033628276,real,27.78,77.41,2.786537077033837
-1033630305#2,from_-1033630305#2,to_-1033630305#2,real,25.0,101.87,4.0748
-1033630305#5,from_-1033630305#5,to_-1033630305#5,real,25.0,641.71,25.668400000000002
-1033630305#6,from_-1033630305#6,to_-1033630305#6,real,25.0,1497.14,59.885600000000004
-1033719113,from_-1033719113,to_-1033719113,real,19.44,133.19,6.85133744855967
-1033719114#0,from_-1033719114#0,to_-1033719114#0,real,19.44,126.2,6.491769547325102
-1033719114#3,from_-1033719114#3,to_-1033719114#3,real,19.44,180.39,9.27932098765432
-1033719115,from_-1033719115,to_-1033719115,real,25.0,66.14,2.6456
-1033719116,from_-1033719116,to_-1033719116,real,13.89,66.95,4.820014398848092
-1033721687#2,from_-1033721687#2,to_-1033721687#2,real,22.22,1266.84,57.013501350135016
-1033751593,from_-1033751593,to_-1033751593,real,13.89,155.55,11.198704103671707
-1033754699,from_-1033754699,to_-1033754699,real,19.44,36.27,1.8657407407407407
-1033754700#0,from_-1033754700#0,to_-1033754700#0,real,22.22,128.88,5.8001800180018
-1033754700#2,from_-1033754700#2,to_-1033754700#2,real,22.22,250.87,11.290279027902791
-1033763162#1,from_-1033763162#1,to_-1033763162#1,real,22.22,151.85,6.833933393339334
-1033763163#0,from_-1033763163#0,to_-1033763163#0,real,16.67,10.74,0.6442711457708458
-1033763163#1,from_-1033763163#1,to_-1033763163#1,real,16.67,129.06,7.742051589682063
-1033768048,from_-1033768048,to_-1033768048,real,19.44,52.32,2.691358024691358
-103916808#0,from_-103916808#0,to_-103916808#0,real,2.78,36.61,13.16906474820144
-103916808#3,from_-103916808#3,to_-103916808#3,real,2.78,108.4,38.992805755395686
-103916808#6,from_-103916808#6,to_-103916808#6,real,2.78,144.88,52.115107913669064
-103916809#4,from_-103916809#4,to_-103916809#4,real,2.78,198.7,71.4748201438849
-103916811#2,from_-103916811#2,to_-103916811#2,real,2.78,203.01,73.02517985611512
-103916811#7,from_-103916811#7,to_-103916811#7,real,2.78,308.22,110.87050359712232
-103916812,from_-103916812,to_-103916812,real,2.78,33.54,12.06474820143885
-104797980#1,from_-104797980#1,to_-104797980#1,real,13.89,30.86,2.22174226061915
-107323365,from_-107323365,to_-107323365,real,13.89,200.08,14.404607631389489
-109986799#0,from_-109986799#0,to_-109986799#0,real,13.89,96.29,6.932325413966883
-109986799#1,from_-109986799#1,to_-109986799#1,real,13.89,98.32,7.078473722102231
-109986799#2,from_-109986799#2,to_-109986799#2,real,13.89,203.01,14.615550755939523
-109986799#3,from_-109986799#3,to_-109986799#3,real,13.89,141.01,10.15190784737221
-109986799#4,from_-109986799#4,to_-109986799#4,real,13.89,68.8,4.953203743700503
-109986799#6,from_-109986799#6,to_-109986799#6,real,13.89,85.17,6.1317494600431965
-109986799#7,from_-109986799#7,to_-109986799#7,real,13.89,176.83,12.730741540676746
-109986799#8,from_-109986799#8,to_-109986799#8,real,13.89,104.35,7.512598992080632
