vehicle_id,time,from_node,to_node,begin_interval,end_interval,interval
0,0,297305382,324550942,0,900,0
1,0,330043393,3787401132,0,900,0
2,1,330040563,2559588578,0,900,0
3,1,2670815505,330043393,0,900,0
4,1,330043437,330043393,0,900,0
5,1,255364799,cluster_330045131_330045136,0,900,0
6,2,330043393,330040563,0,900,0
7,2,330041440,6113530410,0,900,0
8,3,6793225631,6770075859,0,900,0
9,3,cluster_330045496_330045504_5200254966_5200254968,414271220,0,900,0
10,3,4871254737,329590188,0,900,0
11,3,360477894,5022920587,0,900,0
12,4,330041179,2559588578,0,900,0
13,4,5354357258,cluster_330045131_330045136,0,900,0
14,5,2670815505,9171417825,0,900,0
15,5,2345175512,5528062124,0,900,0
16,6,330043171,361191300,0,900,0
17,6,4812389444,402003813,0,900,0
18,6,330046229,330043956,0,900,0
19,7,330044936,1404484711,0,900,0
20,7,2546875545,11231981,0,900,0
21,7,9201686689,330044315,0,900,0
22,8,34821710,2546875470,0,900,0
23,8,2672744432,578673912,0,900,0
24,9,330043310,2412315513,0,900,0
25,10,330044936,2412315513,0,900,0
26,10,332639850,330036595,0,900,0
27,11,330042413,6126996586,0,900,0
28,11,292257022,9213952034,0,900,0
29,12,1404484715,2546875503,0,900,0
30,13,cluster_291381188_330041233,3139882142,0,900,0
31,13,3830640674,976528927,0,900,0
32,13,330041106,360477824,0,900,0
33,15,578673912,255364799,0,900,0
34,15,3681387999,330044693,0,900,0
35,16,1157945201,7963162224,0,900,0
36,17,4871254737,2344597051,0,900,0
37,17,21608373,9171417825,0,900,0
38,18,330042642,4711727819,0,900,0
39,18,322685005,4711727819,0,900,0
40,19,330045368,330043310,0,900,0
41,19,330041440,1199475134,0,900,0
42,19,360477894,330044693,0,900,0
43,20,6111414502,5490669837,0,900,0
44,20,330041707,5528062124,0,900,0
45,21,360477824,330045423,0,900,0
46,21,2672744432,414271220,0,900,0
47,21,330042369,5354357258,0,900,0
48,21,330040956,330041707,0,900,0
49,21,578673912,3139882142,0,900,0
50,21,cluster_330045131_330045136,330043310,0,900,0
51,22,297447184,6126996586,0,900,0
52,22,330041106,4871254737,0,900,0
53,23,329983499,330042369,0,900,0
54,24,9249762409,2475219070,0,900,0
55,24,2672744468,330043198,0,900,0
56,25,330043625,8220941,0,900,0
57,25,6304257800,976528927,0,900,0
58,25,9171417825,cluster_330045131_330045136,0,900,0
59,26,514184883,cluster_330045496_330045504_5200254966_5200254968,0,900,0
60,26,10981451,330043171,0,900,0
61,26,330041179,6113530410,0,900,0
62,27,7131789198,514200384,0,900,0
63,27,2412315513,1423873864,0,900,0
64,27,360474078,1404484701,0,900,0
65,27,330043955,330042917,0,900,0
66,27,330044693,2475219070,0,900,0
67,27,6126996586,3830640674,0,900,0
68,27,360477824,cluster_291381188_330041233,0,900,0
69,28,4027663361,292257022,0,900,0
70,28,330042642,297305382,0,900,0
71,29,414271220,330043393,0,900,0
72,29,2670815564,360477824,0,900,0
73,29,330043198,330041266,0,900,0
74,29,2559588578,330043064,0,900,0
75,30,514200384,514184883,0,900,0
76,30,cluster_330045282_330045762,330046003,0,900,0
77,30,9152533590,2670815505,0,900,0
78,31,6111414502,2341789778,0,900,0
79,31,323378327,330044315,0,900,0
80,32,330045368,10981451,0,900,0
81,32,429784164,360477894,0,900,0
82,32,330041707,330043625,0,900,0
83,33,3787401132,330044936,0,900,0
84,33,1157945201,5354357258,0,900,0
85,33,3878025247,330045311,0,900,0
86,34,324550942,2723670750,0,900,0
87,34,6989036711,3349691312,0,900,0
88,34,6329296611,330042835,0,900,0
89,35,2412315513,297305382,0,900,0
90,35,7963162224,2546875503,0,900,0
91,35,cluster_330045496_330045504_5200254966_5200254968,cluster_291381188_330041233,0,900,0
92,36,6778082404,330042932,0,900,0
93,38,976528927,330045311,0,900,0
94,38,323378327,2110802894,0,900,0
95,38,578673912,292257022,0,900,0
96,38,2546875545,330043171,0,900,0
97,39,976528927,5528062124,0,900,0
98,39,7131789198,330044693,0,900,0
99,39,360477824,330043198,0,900,0
100,39,332236883,330042596,0,900,0
101,39,330043310,8220941,0,900,0
102,41,330045927,330042642,0,900,0
103,41,8199646276,8132449074,0,900,0
104,42,330046229,255364799,0,900,0
105,43,1157945201,330042917,0,900,0
106,43,330046500,330036595,0,900,0
107,43,332639850,330045269,0,900,0
108,44,330045486,323250291,0,900,0
109,45,3830640674,330043955,0,900,0
110,45,6793225631,330041440,0,900,0
111,45,414271220,9249762409,0,900,0
112,45,3269693759,2110802894,0,900,0
